Night,Year   ,Cross,fert,,,
8/22/2019,Year 1 (2019),52-53,94.76301718,,,
8/22/2019,Year 1 (2019),52-54,96.32963824,,77.56710189,26.65860616
8/22/2019,Year 1 (2019),52-55,91.56975642,,,
8/22/2019,Year 1 (2019),52-56,7.2102605,,,
8/22/2019,Year 1 (2019),52-57,84.48804874,,,
8/22/2019,Year 1 (2019),52-77,95.20751229,,,
8/22/2019,Year 1 (2019),52-79,93.8736468,,,
8/22/2019,Year 1 (2019),52-90,82.89495842,,,
8/22/2019,Year 1 (2019),52-107,91.00076104,,,
8/22/2019,Year 1 (2019),53-52,95.71960061,,,
8/22/2019,Year 1 (2019),53-54,95.73843708,,,
8/22/2019,Year 1 (2019),53-55,92.97925109,,,
8/22/2019,Year 1 (2019),53-56,7.369946082,,,
8/22/2019,Year 1 (2019),53-57,84.94773842,,,
8/22/2019,Year 1 (2019),53-77,94.66867451,,,
8/22/2019,Year 1 (2019),53-79,93.94089135,,,
8/22/2019,Year 1 (2019),53-90,81.65979355,,,
8/22/2019,Year 1 (2019),53-107,87.83429604,,,
8/22/2019,Year 1 (2019),54-52,93.93840764,,,
8/22/2019,Year 1 (2019),54-53,83.15922274,,,
8/22/2019,Year 1 (2019),54-55,1.68318194,,,
8/22/2019,Year 1 (2019),54-56,53.71979783,,,
8/22/2019,Year 1 (2019),54-57,2.317769995,,,
8/22/2019,Year 1 (2019),54-77,94.45417709,,,
8/22/2019,Year 1 (2019),54-79,89.8957448,,,
8/22/2019,Year 1 (2019),54-90,78.2491803,,,
8/22/2019,Year 1 (2019),54-107,82.5877193,,,
8/22/2019,Year 1 (2019),55-52,94.49894039,,,
8/22/2019,Year 1 (2019),55-53,80.84196529,,,
8/22/2019,Year 1 (2019),55-54,0.476782753,,,
8/22/2019,Year 1 (2019),55-56,51.50236245,,,
8/22/2019,Year 1 (2019),55-57,5.733816309,,,
8/22/2019,Year 1 (2019),55-77,95.31237779,,,
8/22/2019,Year 1 (2019),55-79,92.45885891,,,
8/22/2019,Year 1 (2019),55-90,80.16367396,,,
8/22/2019,Year 1 (2019),55-107,86.00461738,,,
8/22/2019,Year 1 (2019),56-52,93.50391324,,,
8/22/2019,Year 1 (2019),56-53,1.406234712,,,
8/22/2019,Year 1 (2019),56-54,90.77115717,,,
8/22/2019,Year 1 (2019),56-55,89.08914346,,,
8/22/2019,Year 1 (2019),56-57,84.65294915,,,
8/22/2019,Year 1 (2019),56-77,93.40501792,,,
8/22/2019,Year 1 (2019),56-79,90.01070137,,,
8/22/2019,Year 1 (2019),56-90,82.56721044,,,
8/22/2019,Year 1 (2019),56-107,82.13292557,,,
8/22/2019,Year 1 (2019),57-52,92.68494229,,,
8/22/2019,Year 1 (2019),57-53,68.45430739,,,
8/22/2019,Year 1 (2019),57-54,0.460070551,,,
8/22/2019,Year 1 (2019),57-55,0.889526823,,,
8/22/2019,Year 1 (2019),57-56,46.23485665,,,
8/22/2019,Year 1 (2019),57-77,91.74688513,,,
8/22/2019,Year 1 (2019),57-79,87.8067966,,,
8/22/2019,Year 1 (2019),57-90,80.02422127,,,
8/22/2019,Year 1 (2019),57-107,71.62841937,,,
8/22/2019,Year 1 (2019),77-52,96.03997418,,,
8/22/2019,Year 1 (2019),77-53,97.23613444,,,
8/22/2019,Year 1 (2019),77-54,94.8641132,,,
8/22/2019,Year 1 (2019),77-55,90.13444591,,,
8/22/2019,Year 1 (2019),77-56,67.08698118,,,
8/22/2019,Year 1 (2019),77-57,89.04418844,,,
8/22/2019,Year 1 (2019),77-79,91.82535475,,,
8/22/2019,Year 1 (2019),77-90,82.80286255,,,
8/22/2019,Year 1 (2019),77-107,86.2791978,,,
8/22/2019,Year 1 (2019),79-52,96.63666883,,,
8/22/2019,Year 1 (2019),79-53,96.22890121,,,
8/22/2019,Year 1 (2019),79-54,95.69034174,,,
8/22/2019,Year 1 (2019),79-55,92.59231911,,,
8/22/2019,Year 1 (2019),79-56,68.53932584,,,
8/22/2019,Year 1 (2019),79-57,90.88790275,,,
8/22/2019,Year 1 (2019),79-77,95.91649587,,,
8/22/2019,Year 1 (2019),79-90,84.12924734,,,
8/22/2019,Year 1 (2019),79-107,15.55884036,,,
8/22/2019,Year 1 (2019),90-52,97.78987054,,,
8/22/2019,Year 1 (2019),90-53,91.30861526,,,
8/22/2019,Year 1 (2019),90-54,95.29020362,,,
8/22/2019,Year 1 (2019),90-55,89.98621507,,,
8/22/2019,Year 1 (2019),90-56,59.96609216,,,
8/22/2019,Year 1 (2019),90-57,88.98881931,,,
8/22/2019,Year 1 (2019),90-77,93.36961851,,,
8/22/2019,Year 1 (2019),90-79,95.20158754,,,
8/22/2019,Year 1 (2019),90-107,87.14665389,,,
8/22/2019,Year 1 (2019),107-52,93.52914794,,,
8/22/2019,Year 1 (2019),107-53,92.63379904,,,
8/22/2019,Year 1 (2019),107-54,93.00606889,,,
8/22/2019,Year 1 (2019),107-55,90.42879999,,,
8/22/2019,Year 1 (2019),107-56,58.33989133,,,
8/22/2019,Year 1 (2019),107-57,83.41740285,,,
8/22/2019,Year 1 (2019),107-77,95.26675903,,,
8/22/2019,Year 1 (2019),107-79,1.952003284,,,
8/22/2019,Year 1 (2019),107-90,77.17590095,,,
8/23/2019,Year 1 (2019),53x58,63.06631403,,,
8/23/2019,Year 1 (2019),53x79,41.75945424,,,
8/23/2019,Year 1 (2019),53x97,53.33887755,,,
8/23/2019,Year 1 (2019),53x102,38.80916848,,,
8/23/2019,Year 1 (2019),79x58,97.63962604,,,
8/23/2019,Year 1 (2019),79x97,98.76724694,,,
8/23/2019,Year 1 (2019),79x102,94.40404162,,,
8/23/2019,Year 1 (2019),97x58,93.19905063,,,
8/23/2019,Year 1 (2019),58x102,88.16411769,,,
8/23/2019,Year 1 (2019),97x102,70.63838,,,
8/23/2019,Year 1 (2019),58-53,59.90393528,,,
8/23/2019,Year 1 (2019),79-53,50.75395342,,,
8/23/2019,Year 1 (2019),97-53,39.22425404,,,
8/23/2019,Year 1 (2019),102-53,82.65942334,,,
8/23/2019,Year 1 (2019),58-79,30.22267341,,,
8/23/2019,Year 1 (2019),97-79,62.63411013,,,
8/23/2019,Year 1 (2019),102-79,95.59838857,,,
8/23/2019,Year 1 (2019),58-97,97.36250269,,,
8/23/2019,Year 1 (2019),102-58,97.30805631,,,
8/23/2019,Year 1 (2019),102-97,98.4729779,,,
8/17/2022,Year 2 (2022),01x02 ,76.56705114,,,
8/17/2022,Year 2 (2022),01x07 ,85.81738451,,,
8/17/2022,Year 2 (2022),01x09 ,83.07428912,,,
8/17/2022,Year 2 (2022),01x04 ,94.3768417,,,
8/17/2022,Year 2 (2022),02x01 ,92.54292571,,,
8/17/2022,Year 2 (2022),02x07 ,76.8730496,,,
8/17/2022,Year 2 (2022),02x09 ,92.21478712,,,
8/17/2022,Year 2 (2022),02x04 ,90.71349276,,,
8/17/2022,Year 2 (2022),07x01 ,92.65641942,,,
8/17/2022,Year 2 (2022),07x02 ,80.5129717,,,
8/17/2022,Year 2 (2022),07x09 ,93.42654487,,,
8/17/2022,Year 2 (2022),07x04 ,93.87967824,,,
8/17/2022,Year 2 (2022),04x01 ,93.55723449,,,
8/17/2022,Year 2 (2022),04x02 ,91.38070696,,,
8/17/2022,Year 2 (2022),04x07 ,91.09219115,,,
8/17/2022,Year 2 (2022),04x09 ,94.6422352,,,
8/17/2022,Year 2 (2022),09x01 ,45.5011517,,,
8/17/2022,Year 2 (2022),09x02 ,76.92496897,,,
8/17/2022,Year 2 (2022),09x07 ,85.12529881,,,
8/17/2022,Year 2 (2022),09x04 ,95.96262147,,,
